Sl.No.,Brand,Product_Description,Price,Product_Link,Rating
600,Levis,Men 511 Slim Fit jeans,Rs. 2584,https://www.myntra.com/jeans/levis/levis-men-blue-511-slim-fit-mid-rise-stretchable-jeans/18973734/buy,3.8
601,WROGN,Men Slim Fit jeans,Rs. 1679,https://www.myntra.com/jeans/wrogn/wrogn-men-slim-fit-mid-rise-stretchable-jeans/22148030/buy,4.2
602,WROGN,Regular Layered Casual shirt,Rs. 1700,https://www.myntra.com/shirts/wrogn/wrogn-men-black-regular-fit-solid-layered-casual-shirt/11361334/buy,4.4
603,Roadster,Men Skinny Fit jeans,Rs. 934,https://www.myntra.com/jeans/roadster/roadster-men-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/8962401/buy,3.9
604,WROGN,Striped Slim Fit Pure Cotton tshirt,Rs. 779,https://www.myntra.com/tshirts/wrogn/wrogn-men-red--white-striped-slim-fit-round-neck-pure-cotton-t-shirt/11363446/buy,4.1
605,Calvin Klein Jeans,Men Pure Cotton tshirt,Rs. 2399,https://www.myntra.com/tshirts/calvin-klein-jeans/calvin-klein-jeans-men-pure-cotton-brand-logo-printed-t-shirt/21086362/buy,2.8
606,H&M,2-Pack Slim Fit Polo shirts,Rs. 2299,https://www.myntra.com/tshirts/hm/hm-men-2-pack-slim-fit-polo-shirts/21869664/buy,3.8
607,Tommy Hilfiger,Men Pure Cotton Casual shirt,Rs. 3679,https://www.myntra.com/shirts/tommy-hilfiger/tommy-hilfiger-men-button-down-collar-pure-cotton-casual-shirt/21163058/buy,4.2
608,Roadster,Printed Round Neck tshirt,Rs. 299,https://www.myntra.com/tshirts/roadster/roadster-men-red--black-printed-round-neck-t-shirt/12003946/buy,4.1
609,WROGN,Printed Round Neck tshirt,Rs. 539,https://www.myntra.com/tshirts/wrogn/wrogn-men-red--white-printed-round-neck-t-shirt/11363844/buy,4.3
610,FUAARK,Anti Odour Cotton tshirt,Rs. 799,https://www.myntra.com/tshirts/fuaark/fuaark-typography-printed-anti-odour-slim-fit-training-or-gym-cottont-shirt/22004982/buy,4.1
611,Jack & Jones,Men Grey Low-Rise jeans,Rs. 2499,https://www.myntra.com/jeans/jack--jones/jack--jones-men-grey-low-rise-heavy-fade-stretchable-jeans/18906992/buy,3.8
612,HERE&NOW,Men Typography Printed Pure Cotton tshirt,Rs. 359,https://www.myntra.com/tshirts/herenow/herenow-men-pink-typography-printed-pure-cotton-t-shirt/14911298/buy,4.2
613,Roadster,Regular Fit Casual Linen shirt,Rs. 1149,https://www.myntra.com/shirts/roadster/roadster-men-blue-regular-fit-solid-casual-linen-sustainable-shirt/11325846/buy,4.2
614,Roadster,Men Pure Cotton Hooded tshirt,Rs. 499,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-pure-cotton-graphic-printed-hooded-t-shirt/2308323/buy,4
615,RARE RABBIT,Slim Fit Casual shirt,Rs. 1749,https://www.myntra.com/shirts/rare-rabbit/rare-rabbit-men-black-slim-fit-floral-printed-casual-shirt/19290232/buy,4
616,ADIDAS,Train 3-Striped tshirt,Rs. 1599,https://www.myntra.com/tshirts/adidas/adidas-train-essential-3-striped-t-shirt/20468676/buy,3.9
617,Levis,Men Slim Fit jeans,Rs. 2678,https://www.myntra.com/jeans/levis/levis-men-navy-blue-512-slim-fit-light-fade-mid-rise-stretchable-jeans/17242944/buy,4.3
618,Van Heusen,Men Printed Polo Collar tshirt,Rs. 1199,https://www.myntra.com/tshirts/van-heusen/van-heusen-men-blue-printed-polo-collar-cotton-t-shirt/17598772/buy,4.6
